aurl,a,b,c,alpha,beta,gamma,density,enthalpy_formation_atom,spacegroup_relax,volume_cell,avg_en_dev,avg_mendeleev,p_fraction,group_std,num_unique_elements,num_constituent_atoms,egap
MCL/C1N6Si4Y2_ICSD_162422,10.001433,5.9599258,10.393608,90.25022,90.0,90.0,4.14059,-1.2111,14,619.534,1.0183,14.0000,0.5000,4.3618,4.0000,13.0000,3.0999
RHL/Br6Cs4Pb1_ICSD_162158,10.003389,10.003389,10.003389,89.149482,89.149482,89.149482,4.0431,-1.62941,167,1000.69,1.4467,46.5455,0.6400,7.9051,3.0000,11.0000,3.8971
BCC/O8Te3Zr1_ICSD_9079,10.003997,10.003997,10.003997,109.47122,109.47122,109.47122,5.18822,-1.63708,206,770.724,1.4067,21.6667,0.6286,3.4641,3.0000,12.0000,3.6494
MCL/C1H1Na1O3_ICSD_26933,10.004842,4.1051852,8.4245237,59.910594,90.181801,90.052996,1.8638,-1.50437,2,299.381,1.3133,7.0000,0.5833,7.5277,4.0000,6.0000,4.8668
BCT/C1F2N1O2P1_ICSD_248121,10.006417,10.006417,10.006417,93.838375,93.838375,150.01034,1.74359,-1.57035,82,483.754,0.8940,8.8571,0.6500,1.1127,5.0000,7.0000,5.8973
MCL/B1S3Tl3_ICSD_202528,10.008588,5.7152137,6.7593769,81.61878,90.0,90.0,6.25206,-0.425099,11,382.515,0.6400,42.2857,0.5333,1.6036,3.0000,7.0000,1.3962
MCL/B1F4H5O2_ICSD_15592,10.006837,6.7123331,7.2427942,85.231869,90.0,90.0,1.6967,-1.80425,14,484.809,1.1767,5.1667,0.6042,7.8721,4.0000,12.0000,6.9955
MCL/O4Se1V1_ICSD_68333,10.009179,3.9537836,8.1896853,81.34593,90.0,90.0,4.01957,-1.16458,14,320.41,1.2067,14.8333,0.5714,4.4907,3.0000,6.0000,1.5441
HEX/Ba1Mn1O3_ICSD_89996,10.013237,10.012806,5.0118761,90.0,90.0,120.00142,5.50096,-1.71116,185,435.166,1.7000,21.0000,0.4444,6.5422,3.0000,5.0000,2.0194
TET/I1Li1O3_ICSD_20032,10.013535,10.013535,6.7614051,90.0,90.0,90.0,3.56308,-0.834129,86,677.972,1.6400,16.0000,0.6538,6.8337,3.0000,5.0000,3.5859
