a,b,c,alpha,beta,gamma,density,enthalpy_formation_atom,spacegroup_relax,volume_cell,avg_en_dev,avg_mendeleev,p_fraction,group_std,num_unique_elements,num_constituent_atoms,egap,cluster
13.624194,7.7535435,8.2218816,61.992,90.0,90.0,3.56724,-0.474844,11,766.805,0.7467,25.5714,0.4474,6.9992,3.0,14.0,0.2788,0
11.086192,7.0443927,7.5070452,89.020669,90.0,90.0,1.79178,-0.19076,11,586.181,0.39,15.6,0.6429,0.5477,2.0,5.0,2.3095,0
10.030014,6.4977934,10.773513,87.657704,90.0,90.0,3.67513,-1.29889,11,701.555,1.0267,24.2857,0.6744,0.8644,4.0,14.0,1.8937,0
11.87205,10.038301,10.417626,89.752551,90.0,90.0,3.30728,-0.701647,11,1241.51,1.1533,30.2222,0.6,6.4183,3.0,9.0,1.7829,0
11.882082,6.7856249,7.0969887,63.391034,90.0,90.0,1.84485,-0.187583,11,511.605,0.39,15.5556,0.64,0.527,2.0,9.0,2.454,0
13.009853,7.0065367,7.7169489,75.50428,90.0,90.0,1.77628,-0.779815,11,681.038,0.8333,13.8462,0.6486,0.4804,3.0,13.0,3.2058,0
11.716915,7.0212784,9.0850362,70.497497,90.0,90.0,2.21836,-0.339008,11,704.524,0.525,19.8182,0.6452,1.206,4.0,11.0,2.6959,0
10.235258,6.6580493,12.01882,75.618152,90.0,90.0,2.31845,-0.645255,11,793.377,0.8417,20.0,0.6579,1.1435,4.0,13.0,2.2595,0
10.008588,5.7152137,6.7593769,81.61878,90.0,90.0,6.25206,-0.425099,11,382.515,0.64,42.2857,0.5333,1.6036,3.0,7.0,1.3962,0
13.419179,9.8268984,16.127579,76.660471,90.0,90.0,6.4876,-0.165206,11,2069.35,1.51,62.6154,0.45,6.245,2.0,13.0,0.2578,0
13.754681,6.4433479,13.537698,85.139418,90.0,90.0,1.76586,-0.689287,11,1195.48,0.8517,15.4,0.6774,1.3166,4.0,10.0,1.6666,0
10.01702,10.01702,16.120804,90.001778,89.998222,120.00018,1.93093,0.145016,164,1400.86,0.0,14.0,0.5,0.0,1.0,1.0,0.7852,0
10.05203,10.05203,10.05203,109.47122,109.47122,109.47122,5.93757,-1.03063,197,781.879,1.42,38.0,0.6429,0.5477,2.0,5.0,1.7808,0
10.550228,10.550228,10.550228,90.0,90.0,90.0,3.51727,-0.823196,198,1174.32,0.8533,37.7143,0.5769,7.8921,3.0,7.0,1.6917,0
